Date,Name,Year,Letterboxd URI,Rating
2024-01-12,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4,2
2024-01-12,Robot Dreams,2023,https://boxd.it/vBZm,4
2024-01-16,My Own Private Idaho,1991,https://boxd.it/2ak4,3.5
2024-01-17,In a Glass Cage,1986,https://boxd.it/MnG,3.5
2024-01-18,Perfect Days,2023,https://boxd.it/ATh8,2.5
2024-01-25,Slow,2023,https://boxd.it/E31g,3.5
2024-01-26,Hoodwinked!,2005,https://boxd.it/1UVS,2
2024-01-27,Poor Things,2023,https://boxd.it/tNWU,4
2024-01-28,After Hours,1985,https://boxd.it/1VfS,2.5
2024-02-01,Wonka,2023,https://boxd.it/tCQm,2
2024-02-04,Creatura,2023,https://boxd.it/EydM,3
2024-02-10,All of Us Strangers,2023,https://boxd.it/Bz3C,4.5
2024-02-22,Trouble Every Day,2001,https://boxd.it/115M,3.5
2024-02-23,Last Known Address,1970,https://boxd.it/2sbu,3.5
2024-02-24,Society of the Snow,2023,https://boxd.it/y9aw,3
2024-02-28,Hazbin Hotel,2019,https://boxd.it/nCss,3.5
2024-02-29,May December,2023,https://boxd.it/vEE2,3.5
2024-03-02,The Seven Year Itch,1955,https://boxd.it/1VIK,3
2024-03-03,Sex and Lucía,2001,https://boxd.it/28UE,4
2024-03-04,Opening Night,1977,https://boxd.it/1f4e,4
2024-03-08,Y Tu Mamá También,2001,https://boxd.it/28QM,5
2024-03-13,Lava,2023,https://boxd.it/HMCW,3.5
2024-03-13,Divine Accounts,2022,https://boxd.it/IGYa,4
2024-03-13,Malegro verte,2023,https://boxd.it/HgBW,3
2024-03-13,High Life,2018,https://boxd.it/d6bk,3
2024-03-20,Baby Assassins,2021,https://boxd.it/vXei,3
2024-03-21,How to Have Sex,2023,https://boxd.it/EFIM,4.5
2024-03-21,Queer You Are,2021,https://boxd.it/yFa4,4
2024-03-22,American Fiction,2023,https://boxd.it/DYHm,3.5
2024-03-24,Gaslight,1944,https://boxd.it/1PYs,4.5
2024-03-26,Read Between the Lines,2022,https://boxd.it/Ar70,1.5
2024-03-26,Limits,2020,https://boxd.it/rRjo,1.5
2024-03-28,Habana Blues,2005,https://boxd.it/Gv0,3
2024-03-28,Labyrinth of Passion,1982,https://boxd.it/20tq,3
2024-04-01,Breathless,1960,https://boxd.it/2aIK,4
